order_id,order_date,region,category,quantity,unit_price,customer_rating,revenue
O0380,2024-01-01,North,Home,7,65.565,3.7,458.96
O0302,2024-01-02,West,Accessories,1,28.34,3.9,28.34
O0103,2024-01-02,West,Home,7,27.91,3.3,195.37
O0409,2024-01-03,North,Accessories,1,24.97,3.9,24.97
O0232,2024-01-04,North,Home,1,6.86,4.0,6.86
O0414,2024-01-04,West,Home,2,36.04,4.5,72.08
O0299,2024-01-04,Unknown,Electronics,6,32.06,3.6,192.36
O0368,2024-01-04,East,Electronics,6,19.94,3.7,119.64
O0271,2024-01-05,West,Electronics,5,9.37,3.7,46.85
O0169,2024-01-05,West,Accessories,2,22.04,3.8,44.08
O0137,2024-01-06,West,Home,2,26.5,4.3,53.0
O0384,2024-01-06,East,Accessories,5,8.88,3.8,44.4
O0327,2024-01-07,South,Books,2,29.53,3.5,59.06
O0116,2024-01-07,South,Home,7,18.71,3.5,130.97
O0146,2024-01-07,North,Home,1,17.53,3.9,17.53
O0055,2024-01-08,West,Books,6,19.53,3.5,117.18
O0249,2024-01-08,North,Books,7,21.49,3.5,150.43
O0351,2024-01-09,West,Home,2,10.67,4.8,21.34
O0396,2024-01-09,North,Electronics,4,65.565,4.0,262.26
O0149,2024-01-11,East,Home,7,11.7,3.9,81.9
O0278,2024-01-12,North,Home,5,5.56,3.9,27.8
O0035,2024-01-12,East,Accessories,7,9.9,4.1,69.3
O0386,2024-01-13,East,Home,6,17.98,4.6,107.88
O0044,2024-01-13,North,Home,4,29.64,5.0,118.56
O0068,2024-01-14,West,Home,6,23.11,4.2,138.66
O0279,2024-01-15,North,Books,2,26.24,3.2,52.48
O0126,2024-01-15,South,Books,1,4.91,4.1,4.91
O0216,2024-01-15,North,Home,5,10.7,5.0,53.5
O0195,2024-01-16,East,Home,1,39.5,3.1,39.5
O0006,2024-01-16,West,Accessories,3,27.26,4.3,81.78
O0245,2024-01-16,East,Home,1,42.5,2.9,42.5
O0171,2024-01-17,West,Books,2,18.07,4.4,36.14
O0132,2024-01-17,West,Accessories,5,17.29,4.1,86.45
O0000,2024-01-17,West,Home,7,11.43,3.9,80.01
O0009,2024-01-17,East,Electronics,1,5.64,3.9,5.64
O0032,2024-01-17,South,Home,7,31.59,3.0,221.13
O0358,2024-01-17,South,Home,7,7.82,3.8,54.74
O0375,2024-01-18,South,Books,3,14.34,2.5,43.02
O0086,2024-01-18,East,Books,4,33.09,1.9,132.36
O0242,2024-01-18,North,Accessories,6,21.65,4.3,129.9
O0217,2024-01-18,South,Home,7,10.28,4.4,71.96
O0257,2024-01-19,North,Home,4,17.4,3.0,69.6
O0170,2024-01-20,West,Electronics,1,9.07,5.0,9.07
O0309,2024-01-20,East,Home,7,25.76,4.5,180.32
O0321,2024-01-20,West,Accessories,1,30.1,3.9,30.1
O0364,2024-01-21,South,Electronics,2,57.85,3.7,115.7
O0119,2024-01-21,North,Electronics,4,19.94,3.0,79.76
O0417,2024-01-22,North,Electronics,7,12.62,3.8,88.34
O0312,2024-01-22,West,Accessories,3,7.9,4.2,23.7
O0197,2024-01-22,South,Books,7,19.67,4.1,137.69
O0220,2024-01-23,East,Home,4,13.26,2.8,53.04
O0156,2024-01-23,West,Electronics,7,6.42,2.9,44.94
O0385,2024-01-23,West,Accessories,4,47.88,2.4,191.52
O0413,2024-01-24,North,Home,2,33.97,3.7,67.94
O0240,2024-01-26,North,Accessories,3,14.75,2.8,44.25
O0407,2024-01-26,West,Accessories,5,28.61,4.7,143.05
O0099,2024-01-26,East,Electronics,5,23.72,5.0,118.6
O0305,2024-01-26,North,Accessories,6,13.54,3.7,81.24
O0328,2024-01-26,South,Electronics,6,15.76,3.2,94.56
O0117,2024-01-26,North,Accessories,2,14.21,3.6,28.42
O0255,2024-01-27,East,Books,2,60.28,3.6,120.56
O0389,2024-01-28,West,Electronics,3,65.565,3.3,196.7
O0181,2024-01-28,West,Home,3,9.99,3.9,29.97
O0272,2024-01-28,West,Accessories,1,21.87,4.2,21.87
O0057,2024-01-28,North,Home,1,19.12,3.5,19.12
O0356,2024-01-28,South,Home,5,38.05,4.0,190.25
O0082,2024-01-29,West,Electronics,1,30.61,5.0,30.61
