order_id,order_date,region,category,quantity,unit_price,customer_rating,revenue
O0000,2024-01-17,West,Home,7,11.43,3.9,80.01
O0001,2024-05-19,East,Accessories,1,22.96,3.7,22.96
O0002,2024-04-27,West,Accessories,1,18.58,1.8,18.58
O0003,2024-03-19,East,Accessories,6,17.83,3.1,106.98
O0004,2024-03-18,South,Home,3,33.21,,99.63
O0005,2024-06-03,North,Electronics,4,27.69,3.5,110.76
O0006,2024-01-16,West,Accessories,3,27.26,4.3,81.78
O0007,2024-05-05,,Electronics,3,28.97,3.0,86.91
O0008,2024-02-06,North,Accessories,7,33.13,,231.91
O0009,2024-01-17,East,Electronics,1,5.64,3.9,5.64
O0010,2024-04-04,North,Electronics,6,17.52,4.2,105.12
O0011,2024-06-24,East,Home,7,5.38,5.0,37.66
O0012,2024-05-12,West,Home,5,22.72,5.0,113.6
O0013,2024-05-17,North,Electronics,3,22.13,3.8,66.39
O0014,2024-05-09,South,Accessories,2,43.8,3.6,87.6
O0015,2024-05-21,North,Accessories,5,48.04,3.8,240.2
O0016,2024-04-02,East,Accessories,4,25.33,4.4,101.32
O0017,2024-01-24,West,Home,-1,16.03,3.9,32.06
O0018,2024-05-31,,Home,3,30.43,3.7,91.29
O0019,2024-03-22,South,Home,7,15.75,5.0,110.25
O0020,2024-03-31,West,Electronics,2,22.18,3.9,44.36
O0021,2024-03-07,South,Accessories,2,42.14,5.0,84.28
O0022,2024-02-02,North,Home,5,15.45,4.1,77.25
O0023,2024-06-15,South,Accessories,2,37.48,5.0,74.96
O0024,2024-05-20,East,Accessories,7,34.48,4.3,241.36
O0025,2024-04-25,East,Home,7,11.93,4.7,83.51
O0026,2024-03-13,South,Electronics,7,41.81,3.5,292.67
O0027,2024-05-28,West,Home,7,34.96,3.4,244.72
O0028,2024-04-08,East,Accessories,2,23.72,4.3,47.44
O0029,2024-03-20,South,Home,2,13.52,,27.04
O0030,2024-03-22,West,Accessories,3,12.7,4.0,38.1
O0031,2024-02-10,West,Electronics,4,15.65,3.0,62.6
O0032,2024-01-17,South,Home,7,31.59,3.0,221.13
O0033,2024-04-09,North,Accessories,6,11.93,2.9,71.58
O0034,2024-06-08,East,Accessories,5,29.5,2.7,147.5
O0035,2024-01-12,East,Accessories,7,9.9,4.1,69.3
O0036,2024-06-03,North,Electronics,5,19.44,4.8,97.2
O0037,2024-05-28,East,Books,3,23.84,4.0,71.52
O0038,2024-02-19,West,Electronics,3,108.78,2.3,326.34
O0039,2024-04-23,North,Home,4,9.07,3.9,36.28
O0040,2024-01-30,East,Home,1,57.79,3.9,57.79
O0041,2024-05-16,North,Accessories,6,24.47,,146.82
O0042,2024-05-06,,Electronics,5,29.0,2.9,145.0
O0043,2024-03-04,South,Books,6,23.97,3.7,143.82
O0044,2024-01-13,North,Home,4,29.64,5.0,118.56
O0045,2024-06-23,West,Home,6,20.09,4.3,120.54
O0046,2024-03-21,North,Home,7,57.12,4.4,399.84
O0047,2024-06-09,East,Electronics,4,16.5,4.1,66.0
O0048,2024-05-02,North,Accessories,4,46.34,4.2,185.36
O0049,2024-05-20,West,Home,1,14.6,4.6,14.6
O0050,2024-05-16,East,Books,6,21.35,3.4,128.1
O0051,2024-02-05,West,Home,7,11.06,4.7,77.42
O0052,2024-03-06,South,Accessories,5,29.84,,149.2
O0053,2024-03-25,South,Accessories,7,56.79,4.2,397.53
O0054,2024-03-30,East,Accessories,7,21.11,4.1,147.77
O0055,2024-01-08,West,Books,6,19.53,3.5,117.18
O0056,2024-04-08,West,Books,4,10.76,4.0,43.04
O0057,2024-01-28,North,Home,1,19.12,3.5,19.12
O0058,2024-05-13,East,Home,1,0.0,3.2,7.88
O0059,2024-05-02,North,Books,2,12.26,3.7,24.52
O0060,2024-06-15,South,Books,4,25.72,3.2,102.88
O0061,2024-05-14,West,Accessories,6,52.32,4.2,313.92
O0062,2024-03-06,South,Home,4,137.83,,551.32
O0063,2024-06-23,West,Books,1,15.16,4.5,15.16
O0064,2024-03-14,South,Accessories,2,56.43,3.1,112.86
O0065,2024-02-28,North,Books,7,26.01,3.6,182.07
O0066,2024-06-11,South,Home,7,20.12,3.5,140.84
O0067,2024-03-07,East,Accessories,3,29.41,5.0,88.23
O0068,2024-01-14,West,Home,6,23.11,4.2,138.66
O0069,2024-03-25,East,Home,6,23.85,3.8,143.1
O0070,2024-05-23,West,Home,7,17.02,4.4,119.14
O0071,2024-02-04,West,Home,7,8.95,2.4,62.65
O0072,2024-03-24,West,Home,5,8.14,4.0,40.7
O0073,2024-01-24,East,Books,3,0.0,5.0,101.82
O0074,2024-05-03,South,Electronics,-1,18.54,4.1,92.7
O0075,2024-03-26,South,Home,3,15.07,,45.21
O0076,2024-02-29,North,Books,3,22.32,4.4,66.96
O0077,2024-02-10,South,Home,5,37.21,4.7,186.05
O0078,2024-04-11,West,Books,4,24.96,2.5,99.84
O0079,2024-04-30,South,Home,5,14.49,2.7,72.45
O0080,2024-06-18,North,Home,3,49.26,4.2,147.78
O0081,2024-03-19,East,Electronics,3,61.96,3.5,185.88
O0082,2024-01-29,West,Electronics,1,30.61,5.0,30.61
O0083,2024-05-29,West,Home,5,41.8,3.8,209.0
O0084,2024-04-23,South,Home,5,49.76,2.5,248.8
O0085,2024-05-06,South,Electronics,7,46.27,3.0,323.89
O0086,2024-01-18,East,Books,4,33.09,1.9,132.36
O0087,2024-02-26,North,Electronics,4,32.75,3.8,131.0
O0088,2024-05-18,South,Home,1,31.12,3.9,31.12
O0089,2024-05-29,North,Accessories,2,10.88,3.7,21.76
O0090,2024-03-19,West,Accessories,3,35.0,4.8,105.0
O0091,2024-05-24,,Electronics,3,9.2,4.9,27.6
O0092,2024-05-31,West,Accessories,3,13.24,3.9,39.72
O0093,2024-03-10,West,Books,-1,51.8,,155.4
O0094,2024-06-10,West,Books,6,38.33,4.5,229.98
O0095,2024-02-21,North,Accessories,1,58.37,4.4,58.37
O0096,2024-02-13,West,Books,3,18.6,4.2,55.8
O0097,2024-05-02,North,Home,2,10.5,4.7,21.0
O0098,2024-04-24,South,Accessories,3,18.99,3.1,56.97
O0099,2024-01-26,East,Electronics,5,23.72,5.0,118.6
O0100,2024-05-29,South,Electronics,1,23.37,3.3,23.37
O0101,2024-02-05,North,Books,3,46.38,4.6,139.14
O0102,2024-05-24,North,Accessories,1,17.55,2.7,17.55
O0103,2024-01-02,West,Home,7,27.91,3.3,195.37
O0104,2024-05-23,,Accessories,6,11.67,5.0,70.02
O0105,2024-05-21,South,Books,2,29.75,3.8,59.5
O0106,2024-05-20,West,Electronics,2,22.24,4.6,44.48
O0107,2024-04-29,North,Electronics,1,13.63,4.2,13.63
O0108,2024-03-25,West,Home,4,19.04,3.9,76.16
O0109,2024-05-06,West,Books,6,19.69,5.0,118.14
O0110,2024-02-19,East,Home,5,18.62,3.8,93.1
O0111,2024-05-20,North,Home,7,70.2,2.7,491.4
O0112,2024-04-10,North,Books,3,20.82,3.4,62.46
O0113,2024-03-23,South,Home,2,18.94,4.4,37.88
O0114,2024-04-01,East,Accessories,4,5.68,4.3,22.72
O0115,2024-04-12,North,Accessories,2,12.41,2.8,24.82
O0116,2024-01-07,South,Home,7,18.71,3.5,130.97
O0117,2024-01-26,North,Accessories,2,14.21,3.6,28.42
O0118,2024-02-14,East,Accessories,4,54.5,3.7,218.0
O0119,2024-01-21,North,Electronics,4,19.94,3.0,79.76
O0120,2024-03-20,East,Electronics,1,51.29,3.5,51.29
O0121,2024-04-30,North,Home,4,23.11,3.5,92.44
O0122,2024-04-27,North,Electronics,4,22.74,4.6,90.96
O0123,2024-03-25,North,Electronics,2,20.95,4.6,41.9
O0124,2024-06-02,West,Accessories,1,22.25,3.9,22.25
O0125,2024-04-11,North,Books,1,67.84,3.7,67.84
O0126,2024-01-15,South,Books,1,4.91,4.1,4.91
O0127,2024-05-17,East,Accessories,4,6.04,3.4,24.16
O0128,2024-04-13,East,Home,1,15.59,3.1,15.59
O0129,2024-04-24,East,Books,7,22.41,3.3,156.87
O0130,2024-04-11,West,Home,2,34.76,3.5,69.52
O0131,2024-04-09,South,Accessories,5,30.19,3.1,150.95
O0132,2024-01-17,West,Accessories,5,17.29,4.1,86.45
O0133,2024-04-10,South,Electronics,4,43.05,4.5,172.2
O0134,2024-05-23,West,Accessories,7,43.36,2.8,303.52
O0135,2024-02-24,,Accessories,1,25.02,4.0,25.02
O0136,2024-04-18,East,Books,2,41.5,3.8,83.0
O0137,2024-01-06,West,Home,2,26.5,4.3,53.0
O0138,2024-03-03,West,Home,1,15.41,4.0,15.41
O0139,2024-03-19,West,Home,3,34.94,2.9,104.82
O0140,2024-06-25,East,Accessories,3,23.85,3.1,71.55
O0141,2024-02-08,North,Accessories,6,22.22,4.0,133.32
O0142,2024-02-19,South,Electronics,3,57.82,4.8,173.46
O0143,2024-03-14,North,Home,7,4.51,2.3,31.57
O0144,2024-06-27,,Home,6,8.83,4.3,52.98
O0145,2024-06-02,,Home,7,10.26,4.9,71.82
O0146,2024-01-07,North,Home,1,17.53,3.9,17.53
O0147,2024-02-12,North,Accessories,7,18.81,4.4,131.67
O0148,2024-05-27,,Books,5,8.33,3.5,41.65
O0149,2024-01-11,East,Home,7,11.7,3.9,81.9
O0150,2024-06-03,West,Books,3,12.69,2.8,38.07
O0151,2024-02-20,South,Electronics,7,109.65,2.2,767.55
O0152,2024-06-14,South,Home,5,71.6,4.7,358.0
O0153,2024-02-22,North,Home,1,16.99,3.3,16.99
O0154,2024-03-19,North,Electronics,3,17.53,3.7,52.59
O0155,2024-04-29,South,Home,1,10.52,3.0,10.52
O0156,2024-01-23,West,Electronics,7,6.42,2.9,44.94
O0157,2024-04-10,East,Home,3,20.57,,61.71
O0158,2024-03-31,West,Electronics,2,11.6,3.5,23.2
O0159,2024-05-21,North,Books,4,21.01,4.3,84.04
O0160,2024-06-28,North,Home,3,7.84,4.3,23.52
O0161,2024-04-29,West,Home,1,13.53,4.2,13.53
O0162,2024-03-14,North,Accessories,6,24.45,4.2,146.7
O0163,2024-03-14,North,Books,6,28.16,5.0,168.96
O0164,2024-03-16,South,Electronics,6,29.12,3.2,174.72
O0165,2024-05-26,West,Home,5,9.41,4.0,47.05
O0166,2024-02-27,East,Accessories,3,38.69,4.8,116.07
O0167,2024-01-31,North,Books,4,13.2,4.9,52.8
O0168,2024-03-01,West,Accessories,4,33.49,2.9,133.96
O0169,2024-01-05,West,Accessories,2,22.04,3.8,44.08
O0170,2024-01-20,West,Electronics,1,9.07,5.0,9.07
O0171,2024-01-17,West,Books,2,18.07,4.4,36.14
O0172,2024-05-18,North,Books,4,28.15,4.1,112.6
O0173,2024-05-10,West,Home,2,33.06,3.8,66.12
O0174,2024-05-05,South,Accessories,1,20.25,3.7,20.25
O0175,2024-03-24,West,Accessories,6,60.08,4.2,360.48
O0176,2024-05-09,East,Home,3,42.73,3.8,128.19
O0177,2024-01-30,West,Home,5,18.79,4.0,93.95
O0178,2024-06-11,East,Electronics,4,36.15,4.1,144.6
O0179,2024-03-31,East,Home,6,78.02,3.5,468.12
O0180,2024-06-17,East,Home,6,79.39,4.4,476.34
O0181,2024-01-28,West,Home,3,9.99,,29.97
O0182,2024-03-30,East,Electronics,6,12.16,2.7,72.96
O0183,2024-05-05,,Home,3,58.28,4.2,174.84
O0184,2024-03-30,West,Electronics,6,11.16,3.4,66.96
O0185,2024-03-21,East,Electronics,3,9.4,4.4,28.2
O0186,2024-01-30,South,Electronics,1,16.18,,16.18
O0187,2024-03-09,East,Accessories,6,29.17,4.6,175.02
O0188,2024-02-12,West,Home,1,20.77,4.9,20.77
O0189,2024-02-24,West,Books,6,14.54,4.1,87.24
O0190,2024-05-03,West,Home,1,14.32,4.8,14.32
O0191,2024-04-23,South,Home,2,13.97,2.2,27.94
O0192,2024-04-19,West,Electronics,5,12.53,5.0,62.65
O0193,2024-03-06,South,Electronics,7,97.81,4.3,684.67
O0194,2024-06-21,East,Books,3,26.93,4.8,80.79
O0195,2024-01-16,East,Home,1,39.5,3.1,39.5
O0196,2024-03-02,North,Home,2,16.15,3.4,32.3
O0197,2024-01-22,South,Books,7,19.67,4.1,137.69
O0198,2024-03-02,,Accessories,6,13.96,4.0,83.76
O0199,2024-06-22,North,Accessories,1,3.96,4.2,3.96
O0200,2024-03-06,South,Home,3,9.06,4.8,27.18
O0201,2024-06-12,South,Home,2,6.84,2.7,13.68
O0202,2024-03-30,North,Electronics,2,5.14,4.7,10.28
O0203,2024-05-05,South,Home,6,10.21,4.0,61.26
O0204,2024-03-23,East,Electronics,5,52.52,3.8,262.6
O0205,2024-02-17,North,Books,2,21.57,2.9,43.14
O0206,2024-05-17,South,Electronics,5,51.36,4.4,256.8
O0207,2024-06-23,South,Accessories,3,29.0,2.2,87.0
O0208,2024-02-17,East,Home,1,36.92,4.5,36.92
O0209,2024-05-20,South,Electronics,4,12.36,2.9,49.44
O0210,2024-02-17,East,Electronics,2,31.2,,62.4
O0211,2024-05-09,South,Electronics,2,35.65,3.9,71.3
O0212,2024-05-22,South,Accessories,7,15.26,4.9,106.82
O0213,2024-03-21,South,Books,5,31.93,3.9,159.65
O0214,2024-05-12,North,Accessories,1,32.07,3.5,32.07
O0215,2024-02-19,East,Accessories,6,15.53,3.6,93.18
O0216,2024-01-15,North,Home,5,10.7,5.0,53.5
O0217,2024-01-18,South,Home,7,10.28,4.4,71.96
O0218,2024-03-21,West,Home,6,23.48,3.7,140.88
O0219,2024-06-11,West,Electronics,3,27.46,3.8,82.38
O0220,2024-01-23,East,Home,4,13.26,2.8,53.04
O0221,2024-03-23,West,Electronics,4,22.58,4.3,90.32
O0222,2024-05-06,West,Accessories,6,32.16,2.7,192.96
O0223,2024-02-06,South,Accessories,2,597.24,4.6,66.36
O0224,2024-05-09,West,Home,3,60.87,4.1,182.61
O0225,2024-02-25,South,Electronics,2,50.91,5.0,101.82
O0226,2024-05-25,South,Accessories,3,11.58,3.2,34.74
O0227,2024-04-14,,Home,2,66.31,3.9,132.62
O0228,2024-04-08,West,Home,1,15.72,5.0,15.72
O0229,2024-02-01,West,Accessories,7,43.78,,306.46
O0230,2024-03-24,South,Books,1,23.2,3.5,23.2
O0231,2024-06-03,East,Electronics,7,16.98,,118.86
O0232,2024-01-04,North,Home,1,6.86,4.0,6.86
O0233,2024-05-16,West,Accessories,6,19.86,4.2,119.16
O0234,2024-03-29,East,Electronics,3,8.06,3.5,24.18
O0235,2024-05-09,East,Books,4,41.63,3.9,166.52
O0236,2024-04-29,West,Electronics,2,59.5,2.8,119.0
O0237,2024-03-18,East,Books,4,13.22,4.1,52.88
O0238,2024-02-25,North,Home,4,0.0,4.3,108.04
O0239,2024-04-22,South,Books,4,13.85,3.8,55.4
O0240,2024-01-26,North,Accessories,3,14.75,2.8,44.25
O0241,2024-04-15,East,Electronics,-1,36.72,4.7,146.88
O0242,2024-01-18,North,Accessories,6,21.65,4.3,129.9
O0243,2024-04-26,North,Accessories,4,68.77,3.5,275.08
O0244,2024-04-23,East,Books,3,16.22,3.8,48.66
O0245,2024-01-16,East,Home,1,42.5,2.9,42.5
O0246,2024-05-16,East,Electronics,3,23.65,,70.95
O0247,2024-03-15,West,Electronics,1,37.24,3.6,37.24
O0248,2024-05-21,West,Books,2,16.6,4.9,33.2
O0249,2024-01-08,North,Books,7,21.49,3.5,150.43
O0250,2024-02-02,West,Accessories,1,20.59,4.5,20.59
O0251,2024-03-29,East,Home,4,12.89,3.6,51.56
